Stimulus,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z
P,0.017515182495117188,0.024663425981998444,0.0156618133187294,0.04699660465121269,0.014117286540567875,0.08556503802537918,0.016393566504120827,0.027010265737771988,0.007699680048972368,0.016277063637971878,0.006306914146989584,0.006263782735913992,0.008616373874247074,0.00690148351714015,0.01612151972949505,0.5076265931129456,0.0084915142506361,0.08562888950109482,0.01595895364880562,0.010295010171830654,0.017706068232655525,0.006450745742768049,0.007576349191367626,0.0033737090416252613,0.0105660455301404,0.010216095484793186
Q,0.005614885129034519,0.01638648845255375,0.09712910652160645,0.06860701739788055,0.00594770722091198,0.003324889810755849,0.2086476981639862,0.0036515621468424797,0.00267926137894392,0.006619736086577177,0.0026027734857052565,0.004658941645175219,0.001355213695205748,0.005994971375912428,0.2411988079547882,0.010918070562183857,0.2200092375278473,0.023574141785502434,0.024533648043870926,0.001726956688798964,0.02514948695898056,0.007296286057680845,0.00484430743381381,0.0007958847563713789,0.002359734382480383,0.00437316345050931
R,0.03619931638240814,0.05074023827910423,0.012923686765134335,0.025912947952747345,0.01586906798183918,0.02630508504807949,0.046453896909952164,0.05097705125808716,0.010835195891559124,0.016569511964917183,0.03453379124403,0.00967445969581604,0.01946456916630268,0.040046121925115585,0.024841055274009705,0.08888231962919235,0.03605270758271217,0.3146900236606598,0.03656475618481636,0.010656979866325855,0.01793716847896576,0.009397988207638264,0.018325025215744972,0.01719004474580288,0.01558829378336668,0.013368678279221058
S,0.01220606081187725,0.07365583628416061,0.03248298913240433,0.019434582442045212,0.0621284544467926,0.021582314744591713,0.18246416747570038,0.010965335182845592,0.025249972939491272,0.019962072372436523,0.017142275348305702,0.016105031594634056,0.00419901916757226,0.028027314692735672,0.020205842331051826,0.016201987862586975,0.02948724664747715,0.08253773301839828,0.24336333572864532,0.026142947375774384,0.008234111592173576,0.006998441182076931,0.004216193687170744,0.009424956515431404,0.016989676281809807,0.01059211790561676
T,0.002875955542549491,0.004334004130214453,0.0062725660391151905,0.003972502425312996,0.009714902378618717,0.06733166426420212,0.004558245185762644,0.010719719342887402,0.15606087446212769,0.03634565696120262,0.010735105723142624,0.02591356821358204,0.0034409419167786837,0.012466453947126865,0.002776027424260974,0.03084399737417698,0.0017114332877099514,0.018592270091176033,0.008184551261365414,0.43818172812461853,0.004879123996943235,0.01111112255603075,0.003601470962166786,0.017219875007867813,0.0708557665348053,0.03730049729347229
U,0.0048359655775129795,0.010968048125505447,0.012436638586223125,0.02704152837395668,0.004426292143762112,0.006647982634603977,0.03646863251924515,0.02151641622185707,0.011840739287436008,0.027619779109954834,0.01433674618601799,0.01695318892598152,0.01810414157807827,0.028831427916884422,0.026033561676740646,0.01648782379925251,0.019246721640229225,0.026079677045345306,0.007311664987355471,0.008075660094618797,0.5200049877166748,0.045642949640750885,0.06859184801578522,0.006224828772246838,0.011454948224127293,0.002817808883264661
V,0.001902324496768415,0.0022239568643271923,0.002093507908284664,0.0031321959104388952,0.002143159043043852,0.014257214963436127,0.0034398308489471674,0.005846002139151096,0.022541876882314682,0.021550104022026062,0.02288558892905712,0.009967486374080181,0.004001982044428587,0.02408786490559578,0.0029209451749920845,0.014789657667279243,0.0018683928065001965,0.016543058678507805,0.0041518923826515675,0.014348536729812622,0.047578632831573486,0.4542043209075928,0.03901723027229309,0.03593936935067177,0.2106165885925293,0.017948279157280922
W,0.029674697667360306,0.019182981923222542,0.004326623864471912,0.010307052172720432,0.004304942674934864,0.009332173503935337,0.01348942331969738,0.07768024504184723,0.0048734997399151325,0.013720052316784859,0.12290851026773453,0.007901091128587723,0.09390527755022049,0.08567311614751816,0.01324818842113018,0.02255711704492569,0.010928255505859852,0.12108541280031204,0.008671722374856472,0.008756160736083984,0.032287824898958206,0.01767105795443058,0.16377533972263336,0.07573344558477402,0.01908467337489128,0.008921111933887005
X,0.006107124965637922,0.0029952761251479387,0.00102377834264189,0.00162837328389287,0.003384665586054325,0.00723401689901948,0.002315566409379244,0.011960276402533054,0.019938042387366295,0.02244940586388111,0.0940929725766182,0.007980260998010635,0.01209597010165453,0.029981238767504692,0.001288526225835085,0.006285639014095068,0.0010712500661611557,0.022262126207351685,0.005458811763674021,0.014851026237010956,0.004592826124280691,0.03718804568052292,0.013341306708753109,0.4398885667324066,0.189456969499588,0.04112790897488594
Y,0.0016731590731069446,0.001544465427286923,0.0023894510231912136,0.0016609570011496544,0.0027987973298877478,0.02743336372077465,0.0024137820582836866,0.008207466453313828,0.042942069470882416,0.02474118210375309,0.016123566776514053,0.009518475271761417,0.005148221738636494,0.01915009878575802,0.001964343711733818,0.018949763849377632,0.0012864996679127216,0.010329733602702618,0.003177170641720295,0.057777728885412216,0.011025408282876015,0.0652785524725914,0.012364428490400314,0.047542229294776917,0.5530836582183838,0.05147545039653778
Z,0.0103230532258749,0.00322734541259706,0.005358289461582899,0.0048095970414578915,0.007682764437049627,0.01148572750389576,0.003238789038732648,0.006354637444019318,0.03161714971065521,0.042307205498218536,0.014015397988259792,0.015917494893074036,0.0018311634194105864,0.0046365344896912575,0.002362205646932125,0.011159328743815422,0.0014720187755301595,0.012465602718293667,0.008934910409152508,0.01860470324754715,0.0041677881963551044,0.00767492363229394,0.004209354519844055,0.027545679360628128,0.05143244192004204,0.6871659159660339
