Stimulus,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z
K,0.00201892526820302,0.002028436167165637,0.008915578946471214,0.0019895269069820642,0.008031101897358894,0.023051680997014046,0.0020268578082323074,0.01007937639951706,0.014033188112080097,0.015041465871036053,0.3851422965526581,0.011080984957516193,0.01100899651646614,0.014091400429606438,4.099557554582134e-05,0.015018044970929623,0.0010278327390551567,0.04710039123892784,0.005017086863517761,0.023101547732949257,0.00596678676083684,0.022072024643421173,0.02198920212686062,0.1730852574110031,0.11416512727737427,0.06287587434053421
L,0.0080294543877244,0.005085561890155077,0.012953287921845913,0.004034774377942085,0.019117385149002075,0.0041765389032661915,0.00109107734169811,0.022038690745830536,0.14745952188968658,0.05217334255576134,0.013933458365499973,0.5367162823677063,0.005060589872300625,0.01100147608667612,0.005041216034442186,0.008020248264074326,0.005017181392759085,0.008061816915869713,0.00905699748545885,0.045001320540905,0.02196352370083332,0.009994643740355968,0.013964876532554626,0.0040059080347418785,0.011002602055668831,0.015998173505067825
M,0.0050863479264080524,0.010925143957138062,0.004974630195647478,0.0030068138148635626,0.005996013525873423,0.009017174132168293,0.0040067033842206,0.15126670897006989,0.006148812361061573,0.01210300624370575,0.05492144078016281,0.0030993742402642965,0.4364345073699951,0.07217278331518173,0.005981419235467911,0.017901621758937836,0.004983190447092056,0.05184449255466461,0.005962369963526726,0.02404526248574257,0.013993443921208382,0.007060135714709759,0.03900595009326935,0.026967909187078476,0.021046863868832588,0.002047852147370577
N,0.019364597275853157,0.012052030302584171,0.001032738364301622,0.0060094064101576805,0.0010370382806286216,0.0020342939533293247,0.004039399325847626,0.022281279787421227,0.005017424002289772,0.008065267466008663,0.10784055292606354,0.012973153032362461,0.027015384286642075,0.49429336190223694,0.0010295177344232798,0.004036939702928066,0.003007822670042515,0.10780229419469833,0.012981134466826916,0.005978699773550034,0.005221778526902199,0.020010294392704964,0.02606944739818573,0.059815481305122375,0.027932509779930115,0.003058129921555519
O,0.0010968111455440521,0.016499698162078857,0.09729640930891037,0.09565714746713638,0.0021833544597029686,0.00399150000885129,0.1527015119791031,0.0011416332563385367,0.003982264082878828,0.009255075827240944,0.0010394701967015862,0.0030733037274330854,5.694488936569542e-05,0.004079762846231461,0.3797565698623657,0.020181678235530853,0.14163397252559662,0.013296214863657951,0.023432502523064613,0.0030112171079963446,0.014466668479144573,0.002048427239060402,0.002116918796673417,0.0009906587656587362,0.003976823296397924,0.003033500863239169
P,0.01800166815519333,0.023081539198756218,0.017020953819155693,0.032128483057022095,0.017987878993153572,0.08393069356679916,0.015046847052872181,0.02204124815762043,0.0020663361065089703,0.008048261515796185,0.005030912812799215,0.005019776523113251,0.005998627282679081,0.0030900638084858656,0.015052789822220802,0.5661904215812683,0.0070304847322404385,0.08820292353630066,0.0209795031696558,0.0060362424701452255,0.012990814633667469,0.003995633218437433,0.005016930866986513,0.0029794725123792887,0.006012321915477514,0.0070191556587815285
Q,0.004943029023706913,0.014166432432830334,0.10585298389196396,0.08304671943187714,0.0011106402380391955,0.002989996923133731,0.18400141596794128,0.0029959743842482567,0.0010240818373858929,0.010920457541942596,0.0019919192418456078,0.0069655063562095165,0.000987027189694345,0.0020242466125637293,0.25258123874664307,0.0041290344670414925,0.24822936952114105,0.011093845590949059,0.027930768206715584,7.232392817968503e-05,0.015992427244782448,0.0029817314352840185,0.003986059688031673,0.0010042909998446703,0.003031973261386156,0.005946503486484289
R,0.022035831585526466,0.022808179259300232,0.014942631125450134,0.018974244594573975,0.01505215559154749,0.03600030764937401,0.04592996463179588,0.04060450941324234,0.0001409289106959477,0.006193231325596571,0.013524250127375126,0.0021423115395009518,0.005268830340355635,0.023435749113559723,0.022814897820353508,0.13052970170974731,0.04145171493291855,0.4423730671405792,0.04384743794798851,0.011067182756960392,0.008203941397368908,0.002084180014207959,0.007229489739984274,0.0071607185527682304,0.013079039752483368,0.00310548790730536
S,0.006967191584408283,0.0680718794465065,0.0430133119225502,0.010129484347999096,0.07381484657526016,0.019904397428035736,0.20401079952716827,0.005989461671561003,0.012930287979543209,0.01003628596663475,0.014890777878463268,0.008027831092476845,0.0019847750663757324,0.012987812049686909,0.016375824809074402,0.016980169340968132,0.027352740988135338,0.1005876287817955,0.29985570907592773,0.017858367413282394,0.006005147006362677,0.004119155928492546,0.002058104844763875,0.00301448255777359,0.004084349609911442,0.00894914660602808
T,0.004010573495179415,0.0020206542685627937,0.003029515501111746,0.0020073652267456055,0.0041139512322843075,0.06895098835229874,0.001995811238884926,0.0129637336358428,0.1681973934173584,0.036119040101766586,0.0070997560396790504,0.031027305871248245,0.004011793527752161,0.0119761498644948,0.0020052280742675066,0.024993469938635826,0.001006954931654036,0.011005311273038387,0.0020453985780477524,0.5183953642845154,0.00702813221141696,0.013013537973165512,0.002028931165114045,0.006098372861742973,0.03265778347849846,0.02219749242067337
U,0.0040502087213099,0.003325959201902151,0.012008313089609146,0.013182847760617733,0.0020123806316405535,0.0020132556091994047,0.03696722537279129,0.011420242488384247,0.004035194404423237,0.027881808578968048,0.005072524771094322,0.02094263769686222,0.012000195682048798,0.025050146505236626,0.021175295114517212,0.007035653106868267,0.014056665822863579,0.005509151611477137,0.0021523453760892153,0.005991735495626926,0.6250841021537781,0.04914123937487602,0.08173055946826935,0.002057391684502363,0.006061682477593422,4.124093902646564e-05
V,0.0010215893853455782,0.0020100565161556005,0.0019947553519159555,0.0050012702122330666,2.5875311621348374e-05,0.013040449470281601,0.003962147980928421,0.004062952008098364,0.025067444890737534,0.021116817370057106,0.017994673922657967,0.007055957801640034,0.0020642466843128204,0.025027204304933548,0.0059569645673036575,0.013063005171716213,0.002003996865823865,0.014945692382752895,0.00302701024338603,0.013155682012438774,0.04686431959271431,0.5276002883911133,0.04292195290327072,0.01717487722635269,0.18260499835014343,0.001235774252563715
W,0.04085927456617355,0.013989988714456558,0.0010249348124489188,0.005009930580854416,0.0029918395448476076,0.007016670424491167,0.006010161712765694,0.06803303956985474,0.004018026404082775,0.013053536415100098,0.15699502825737,0.0090019591152668,0.08913648873567581,0.08300380408763885,0.007008944172412157,0.020053735002875328,0.007001297548413277,0.12687931954860687,0.008009777404367924,0.0020656948909163475,0.013130727224051952,0.00514849741011858,0.1875913441181183,0.0998547226190567,0.013156232424080372,0.00995503831654787
X,0.0020352520514279604,0.0010127801215276122,3.441360604483634e-05,0.0010041777277365327,0.001989987911656499,0.005047079175710678,0.001981757115572691,0.0020397286862134933,0.009029785171151161,0.0158989354968071,0.0858977660536766,0.006903814617544413,0.0049621788784861565,0.022782890126109123,0.0009835694218054414,0.0030683039221912622,2.6787818569573574e-05,0.022027520462870598,0.00398957310244441,0.013037453405559063,0.0020798000041395426,0.036795660853385925,0.010938333347439766,0.501642107963562,0.2107192724943161,0.034071072936058044
Y,0.0019591781310737133,0.0009883532766252756,1.856876588135492e-05,0.0019810134544968605,1.3434554603009019e-05,0.022843681275844574,3.325305078760721e-05,0.00499831885099411,0.01999160833656788,0.022879019379615784,0.012009548023343086,0.004020349588245153,0.0029932160396128893,0.01589987240731716,0.0010089761344715953,0.02178199402987957,0.0009863399900496006,0.007004206534475088,0.0019649616442620754,0.030976882204413414,0.0040695928037166595,0.02753741666674614,0.007020925637334585,0.05891112610697746,0.6544167399406433,0.07369140535593033
Z,0.009022209793329239,0.0010087518021464348,0.001998062478378415,0.0019880307372659445,0.006993524730205536,0.006014305166900158,0.001998157938942313,0.0030249780975282192,0.011218489147722721,0.028226375579833984,0.015035166405141354,0.013080807402729988,0.0010255372617393732,0.00404363265261054,0.0019842463079839945,0.003009815001860261,0.0009989424142986536,0.007010693661868572,0.009967842139303684,0.014078174717724323,0.0020173359662294388,0.006024723872542381,0.0030068785417824984,0.02734651230275631,0.05839388072490692,0.7614828944206238
